ml_id,imdb_id,ml_title,imdb_title,ml_year,imdb_year,ml_genres,ml_genres_augment,imdb_genres,imdb_type,director,writer,actor,actress,cinematographer,composer,producer,editor,production_designer,archive_footage,archive_sound
718,tt0108500,"Visitors, The (Les Visiteurs) (1993)",The Visitors,1993,1993,"['Comedy', 'Sci-Fi']","['Comedy', 'Fantasy', 'Sci-Fi']","['Comedy', 'Fantasy']",movie,['nm0688585'],,"['nm0002010', 'nm0000606']","['nm0501256', 'nm0154707']",['nm0494444'],['nm0505438'],['nm0856176'],['nm0445398'],['nm0864371'],,
719,tt0117108,Multiplicity (1996),Multiplicity,1996,1996,['Comedy'],['Comedy'],"['Comedy', 'Romance', 'Sci-Fi']",movie,['nm0000601'],"['nm0588082', 'nm0354968', 'nm0304665', 'nm0541632']","['nm0000474', 'nm0241033']","['nm0000510', 'nm0772432']",,,['nm0016603'],,,,
720,,Wallace & Gromit: The Best of Aardman Animation (1996),,1996,,['Animation'],,,,,,,,,,,,,,
721,tt0114103,Halfmoon (Paul Bowles - Halbmond) (1995),Paul Bowles: Half Moon,1995,1995,['Drama'],['Drama'],['Drama'],movie,"['nm0772082', 'nm0901861']",,"['nm0346363', 'nm0473297', 'nm0101247']",['nm0067845'],['nm0864523'],['nm0120478'],,"['nm0741557', 'nm0737988']",,,
722,tt0113270,"Haunted World of Edward D. Wood Jr., The (1995)",The Haunted World of Edward D. Wood Jr.,1996,1995,['Documentary'],['Documentary'],"['Biography', 'Documentary']",movie,['nm0859920'],,,,['nm0588204'],['nm0006068'],['nm0858659'],['nm0480800'],['nm0480375'],,
723,tt0092123,Two Friends (1986),2 Friends,1986,1986,['Drama'],['Drama'],['Drama'],tvMovie,['nm0001005'],['nm0307712'],['nm0373827'],"['nm0081183', 'nm0171306', 'nm0574296']",['nm0672132'],['nm0035469'],['nm0152396'],['nm0751580'],,,
724,tt0115963,"Craft, The (1996)",The Craft,1996,1996,"['Drama', 'Horror']","['Drama', 'Fantasy', 'Horror', 'Thriller']","['Drama', 'Fantasy', 'Horror']",movie,['nm0281598'],['nm0276823'],,"['nm0000677', 'nm0000103', 'nm0000117', 'nm0874086']",['nm0344738'],['nm0006251'],['nm0926824'],['nm0293435'],,,
725,tt0116448,"Great White Hype, The (1996)",The Great White Hype,1996,1996,['Comedy'],['Comedy'],"['Comedy', 'Sport']",movie,['nm0399737'],"['nm0376676', 'nm0005421']","['nm0000168', 'nm0000156', 'nm0001834', 'nm0000916']",,,['nm0588883'],"['nm0076681', 'nm0232433']",,,,
726,tt0116827,Last Dance (1996),Last Dance,1996,1996,['Drama'],['Drama'],"['Drama', 'Thriller']",movie,['nm0000915'],"['nm0353187', 'nm0467193']","['nm0001555', 'nm0001642', 'nm0001251']",['nm0000232'],['nm0416824'],['nm0006142'],,['nm0089182'],,,
727,tt0114894,War Stories (1995),War Stories,1995,1995,['Documentary'],['Documentary'],"['Documentary', 'Romance', 'War']",movie,['nm0696414'],,,['nm0299476'],['nm0093151'],['nm0078799'],,['nm0840212'],,,
728,tt0112701,Cold Comfort Farm (1995),Cold Comfort Farm,1995,1995,['Comedy'],['Comedy'],"['Comedy', 'Romance']",tvMovie,['nm0772259'],"['nm0102903', 'nm0316599']",['nm0000410'],"['nm0040586', 'nm0000295', 'nm0123090']",['nm0003372'],['nm0516894'],['nm0318336'],,,,
729,tt0113429,"Institute Benjamenta, or This Dream People Call Human Life (1995)","Institute Benjamenta, or This Dream That One Calls Human Life",1995,1995,['Drama'],['Drama'],['Drama'],movie,"['nm0703028', 'nm0703029', 'nm11739451']","['nm0664877', 'nm0909523']","['nm0753314', 'nm0424167', 'nm1344977']",['nm0000481'],,,['nm0062362'],,,,
730,tt0110400,"Low Life, The (1994)",The Low Life,1995,1995,['Drama'],['Drama'],['Drama'],movie,['nm0382584'],['nm0256722'],"['nm0168262', 'nm0000276', 'nm0515296']",['nm0001718'],['nm0003452'],['nm0093039'],"['nm0376032', 'nm0958415']",,,,
731,tt0116508,Heaven's Prisoners (1996),Heaven's Prisoners,1996,1996,"['Mystery', 'Thriller']","['Crime', 'Thriller']","['Drama', 'Mystery', 'Thriller']",movie,['nm0423333'],"['nm0121715', 'nm0679037', 'nm0291082']","['nm0000285', 'nm0000616']","['nm0001488', 'nm0000524']",,,"['nm0003132', 'nm0340037']",,,,
732,tt0117260,Original Gangstas (1996),Original Gangstas,1996,1996,['Crime'],['Crime'],"['Action', 'Crime', 'Drama']",movie,['nm0169540'],['nm0711877'],"['nm0004365', 'nm0000987', 'nm0934902']",['nm0000427'],['nm0328076'],['nm0395699'],,"['nm0449444', 'nm0255030']",,,
733,tt0117500,"Rock, The (1996)",The Rock,1996,1996,"['Action', 'Adventure', 'Thriller']","['Action', 'Adventure', 'Thriller']","['Action', 'Adventure', 'Thriller']",movie,['nm0000881'],"['nm0918711', 'nm0177018', 'nm0743119']","['nm0000125', 'nm0000115', 'nm0000438', 'nm0817983']",,,,"['nm0800971', 'nm0000988']",,,,
734,tt0116405,Getting Away With Murder (1996),Getting Away with Murder,1996,1996,['Comedy'],['Comedy'],['Comedy'],movie,['nm0588458'],,"['nm0000493', 'nm0000101']","['nm0005499', 'nm0001372']",['nm0862777'],['nm0002201'],"['nm0001508', 'nm0696895']",['nm0621301'],,,
735,tt0109592,Cemetery Man (Dellamorte Dellamore) (1994),Cemetery Man,1994,1994,"['Comedy', 'Horror']",['Horror'],"['Comedy', 'Horror']",movie,['nm0811714'],"['nm0778554', 'nm0739744']","['nm0000391', 'nm0352847', 'nm0461658']",['nm0001197'],,['nm0083938'],"['nm0080917', 'nm0181107']",,,,
736,tt0117998,Twister (1996),Twister,1996,1996,"['Action', 'Adventure', 'Romance', 'Thriller']","['Action', 'Adventure', 'Romance', 'Thriller']","['Action', 'Adventure', 'Thriller']",movie,['nm0000957'],"['nm0000341', 'nm0551926']","['nm0000200', 'nm0000144']","['nm0000166', 'nm0000415']",,['nm0006183'],"['nm0117290', 'nm0005086']",,,,
737,tt0115624,Barb Wire (1996),Barb Wire,1996,1996,"['Action', 'Sci-Fi']","['Action', 'Sci-Fi']","['Action', 'Sci-Fi']",movie,['nm0389514'],"['nm0912431', 'nm0149669', 'nm0679326']","['nm0008894', 'nm0029025']","['nm0000097', 'nm0018234']",,,"['nm0724700', 'nm0610465']",,,,
738,tt0113145,"Garcu, Le (1995)",The Son Of...,1995,1995,['Drama'],['Drama'],['Drama'],movie,['nm0681207'],['nm0200648'],"['nm0000367', 'nm0681203', 'nm0734067']",['nm0656768'],"['nm0488625', 'nm0869784']",,['nm0323886'],['nm0217959'],,,
739,tt0116559,Honigmond (1996),Honigmond,1996,1996,['Comedy'],['Comedy'],['Comedy'],movie,['nm0059509'],"['nm0367132', 'nm0900965']",['nm0927641'],"['nm0274704', 'nm0229733', 'nm0826432']",,"['nm7033406', 'nm0473918']",['nm0907173'],,,,
741,tt0113568,Ghost in the Shell (Kokaku kidotai) (1995),Ghost in the Shell,1995,1995,"['Animation', 'Sci-Fi']","['Animation', 'Sci-Fi']","['Action', 'Animation', 'Crime']",movie,['nm0651900'],"['nm0794385', 'nm0411872']","['nm0443509', 'nm0960033', 'nm0945290']",['nm0848968'],,,"['nm0559526', 'nm0411070', 'nm0412669']",,,,
742,tt0117894,Thinner (1996),Thinner,1996,1996,"['Horror', 'Thriller']","['Horror', 'Thriller']","['Fantasy', 'Horror']",movie,['nm0276169'],"['nm0000175', 'nm0568313']","['nm0121559', 'nm0001505']","['nm0421087', 'nm0502342']",,['nm0006171'],"['nm0302127', 'nm0748283']",,,,
743,tt0117723,Spy Hard (1996),Spy Hard,1996,1996,['Comedy'],['Comedy'],"['Action', 'Comedy']",movie,['nm0295007'],"['nm0294997', 'nm0783536', 'nm0161003']","['nm0000558', 'nm0001164']","['nm0001733', 'nm0001315']",,,"['nm0465458', 'nm0236841']",,,,
744,tt0112586,Brothers in Trouble (1995),Brothers in Trouble,1995,1995,['Drama'],['Drama'],"['Comedy', 'Drama']",movie,['nm0006841'],"['nm0118556', 'nm0403995']","['nm0700875', 'nm0539497', 'nm0080372']",['nm0050337'],['nm0021961'],['nm0006339'],,['nm0898535'],,,
745,tt0112691,"Close Shave, A (1995)",A Close Shave,1995,1995,"['Animation', 'Comedy', 'Thriller']","['Animation', 'Children', 'Comedy']","['Animation', 'Comedy', 'Crime']",short,['nm0661910'],['nm0048276'],"['nm0758608', 'nm1017994', 'nm0370199']",['nm0717176'],['nm0725725'],['nm0636608'],"['nm0741578', 'nm0791185']",,,,
746,tt0040366,Force of Evil (1948),Force of Evil,1948,1948,['Film-Noir'],['Film-Noir'],"['Crime', 'Drama', 'Film-Noir']",movie,['nm0689796'],['nm0938183'],"['nm0002092', 'nm0327089', 'nm0150166']",['nm0934798'],['nm0055604'],['nm0000710'],['nm0730873'],['nm0782324'],,,
747,tt0117768,"Stupids, The (1996)",The Stupids,1996,1996,['Comedy'],['Comedy'],"['Adventure', 'Comedy']",movie,['nm0000484'],"['nm0550930', 'nm0020068', 'nm0286715']","['nm0000792', 'nm0355379']","['nm0526649', 'nm0571327']",,['nm0006306'],['nm0069798'],,,,
748,tt0115571,"Arrival, The (1996)",The Arrival,1996,1996,"['Action', 'Sci-Fi', 'Thriller']","['Action', 'Sci-Fi', 'Thriller']","['Mystery', 'Sci-Fi', 'Thriller']",movie,['nm0878638'],,"['nm0000221', 'nm0771493', 'nm0788018']",['nm0001080'],['nm0005812'],['nm0447396'],"['nm0810147', 'nm0824588']",['nm0402950'],,,
749,tt0031612,"Man from Down Under, The (1943)",The Man from Down Under,1943,1943,['Drama'],['Drama'],"['Action', 'Comedy', 'Drama']",movie,['nm0502752'],"['nm0736752', 'nm0446651', 'nm0740537', 'nm0783328']","['nm0001452', 'nm0137999']","['nm0001931', 'nm0001656']",,,['nm0241338'],,,,
750,tt0057012,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,1964,"['Sci-Fi', 'War']","['Comedy', 'War']",['Comedy'],movie,['nm0000040'],"['nm0816143', 'nm0313570']","['nm0000634', 'nm0001715', 'nm0001330', 'nm0943978']",,['nm0852405'],['nm0006145'],,['nm0367431'],,,
751,tt0103926,Careful (1992),Careful,1992,1992,['Comedy'],"['Comedy', 'Horror']","['Comedy', 'Drama', 'Romance']",movie,['nm0534665'],['nm0866014'],"['nm0567143', 'nm0623697']","['nm0229838', 'nm0627480']",,['nm0567141'],"['nm0460283', 'nm0870596']",,,,
752,tt0105737,Vermont Is For Lovers (1992),Vermont Is for Lovers,1992,1992,"['Comedy', 'Romance']","['Comedy', 'Documentary', 'Romance']",['Comedy'],movie,['nm0639618'],,"['nm0861967', 'nm0267863']","['nm0169926', 'nm0639427']",,['nm0797927'],,,,,
753,tt0113849,"Month by the Lake, A (1995)",A Month by the Lake,1995,1995,"['Comedy', 'Drama']","['Comedy', 'Drama', 'Romance']","['Comedy', 'Drama', 'Romance']",movie,['nm0410139'],"['nm0060914', 'nm0072746', 'nm5462342']",['nm0002081'],"['nm0000603', 'nm0000235', 'nm0885098']",,['nm0003607'],['nm0289221'],,,,
754,tt0113188,Gold Diggers: The Secret of Bear Mountain (1995),Gold Diggers: The Secret of Bear Mountain,1995,1995,"['Adventure', ""Children's""]","['Adventure', 'Children']","['Adventure', 'Drama', 'Family']",movie,['nm0229914'],['nm0322045'],['nm0450116'],"['nm0000207', 'nm0001043', 'nm0237164']",,['nm0006193'],"['nm0106840', 'nm0106841', 'nm0223383']",,,,
755,tt0042644,Kim (1950),Kim,1950,1950,"[""Children's"", 'Drama']","['Children', 'Drama']","['Adventure', 'Drama', 'Family']",movie,['nm0767701'],"['nm0456017', 'nm0330390', 'nm0222079', 'nm0770337']","['nm0001224', 'nm0001777', 'nm0510134', 'nm0001888']",,,['nm0006238'],,,,,
756,tt0109381,Carmen Miranda: Bananas Is My Business (1994),Carmen Miranda: Bananas Is My Business,1994,1995,['Documentary'],['Documentary'],"['Biography', 'Documentary', 'Music']",movie,,,['nm0056998'],"['nm0812773', 'nm0012128']",['nm0536070'],"['nm0304140', 'nm0610148']",['nm1821617'],['nm0957054'],,,
757,tt0109688,Ashes of Time (1994),Ashes of Time,1994,1994,['Drama'],['Drama'],"['Action', 'Drama']",movie,['nm0939182'],['nm0149222'],"['nm0002000', 'nm0504897']","['nm0510857', 'nm0001041']","['nm0477095', 'nm0236313']","['nm0150894', 'nm0306473']",,,,,
758,tt0104606,"Jar, The (Khomreh) (1992)",The Jar,1992,1992,['Drama'],['Drama'],"['Drama', 'Family']",movie,['nm0286571'],['nm0449407'],"['nm0451718', 'nm0451524', 'nm0049378']",['nm0044420'],['nm0755811'],['nm0019607'],['nm0953584'],['nm0768390'],,,
759,tt0110480,Maya Lin: A Strong Clear Vision (1994),Maya Lin: A Strong Clear Vision,1994,1994,['Documentary'],['Documentary'],"['Biography', 'Documentary']",movie,['nm0595131'],,,,"['nm0502375', 'nm0550218']",['nm0017450'],['nm0761739'],['nm0142216'],,,
760,tt0108211,Stalingrad (1993),Stalingrad,1993,1993,['War'],"['Drama', 'War']","['Drama', 'War']",movie,['nm0005917'],"['nm0127321', 'nm0296356', 'nm0373893']","['nm0395850', 'nm0470981', 'nm0293695', 'nm0748993']",,,,"['nm0737582', 'nm0404483']",,,,
761,tt0117331,"Phantom, The (1996)",The Phantom,1996,1996,['Adventure'],"['Action', 'Adventure']","['Action', 'Adventure', 'Comedy']",movie,['nm0934578'],"['nm0266166', 'nm0090151']","['nm0000708', 'nm0001852']","['nm0001785', 'nm0001876']",,['nm0628056'],"['nm0263172', 'nm0480440']",,,,
762,tt0117765,Striptease (1996),Striptease,1996,1996,"['Comedy', 'Crime']","['Comedy', 'Crime']","['Comedy', 'Crime', 'Drama']",movie,['nm0000921'],['nm0382437'],"['nm0000608', 'nm0000800', 'nm0000609']",['nm0000193'],['nm0003552'],['nm0006290'],['nm0516465'],['nm0167613'],,,
763,tt0116833,"Last of the High Kings, The (a.k.a. Summer Fling) (1996)",The Last of the High Kings,1996,1996,['Drama'],"['Comedy', 'Drama']","['Comedy', 'Drama']",movie,['nm0444096'],['nm0531231'],"['nm0001467', 'nm0000321']","['nm0001573', 'nm0000207']",['nm0005739'],['nm0006016'],['nm0658471'],['nm0522487'],,,
764,tt0113280,Heavy (1995),Heavy,1995,1995,"['Drama', 'Romance']","['Drama', 'Romance']","['Drama', 'Romance']",movie,['nm0003506'],,['nm0898546'],"['nm0000239', 'nm0001859', 'nm0001323']",['nm0057869'],['nm0601952'],['nm0589194'],['nm0720532'],['nm0789877'],,
765,tt0116669,Jack (1996),Jack,1996,1996,"['Comedy', 'Drama']","['Comedy', 'Drama']","['Comedy', 'Drama', 'Fantasy']",movie,['nm0000338'],"['nm0218621', 'nm0618800']","['nm0000245', 'nm0450116']","['nm0000178', 'nm0000182']",,['nm0004383'],"['nm0297209', 'nm0582338']",,,,
766,tt0116594,I Shot Andy Warhol (1996),I Shot Andy Warhol,1996,1996,['Drama'],['Drama'],"['Biography', 'Drama']",movie,['nm0366004'],"['nm0628534', 'nm0875844', 'nm0590889']","['nm0364813', 'nm0089937']","['nm0000666', 'nm0000588']",,,"['nm0882927', 'nm0435788']",,,,
767,tt0113211,"Grass Harp, The (1995)",The Grass Harp,1995,1995,['Drama'],"['Comedy', 'Drama']","['Comedy', 'Drama']",movie,['nm0559879'],"['nm0001986', 'nm0798103', 'nm0254945']","['nm0000527', 'nm0000411']","['nm0001453', 'nm0000651']",,,"['nm0204862', 'nm0204762']",,,,
768,tt0114494,Someone Else's America (1995),Someone Else's America,1995,1995,['Drama'],['Drama'],"['Comedy', 'Drama']",movie,['nm0664607'],"['nm0586235', 'nm3894914', 'nm0741331']","['nm0002018', 'nm0543547']","['nm0143018', 'nm0543550']",,,"['nm0166436', 'nm0126646']",,,,
769,tt0116992,Marlene Dietrich: Shadow and Light (1996),Marlene Dietrich: Shadow and Light,1996,1996,['Documentary'],['Documentary'],['Documentary'],tvMovie,['nm0402383'],,['nm0728934'],,['nm0759279'],,,['nm2940496'],,"['nm0000071', 'nm0000017']",
770,tt0038426,Costa Brava (1946),Costa Brava,1946,1946,['Drama'],['Drama'],,movie,['nm0281541'],"['nm0022119', 'nm0563332']","['nm0194566', 'nm0228057', 'nm0616356']","['nm0655343', 'nm0605036']",['nm0005707'],['nm0850664'],,,,,
771,tt0094265,"Vie est belle, La (Life is Rosey) (1987)",Life Is Rosy,1987,1987,"['Comedy', 'Drama']","['Comedy', 'Drama']","['Comedy', 'Drama', 'Musical']",movie,"['nm0484009', 'nm0628890']",['nm0502507'],"['nm0920707', 'nm0440694']","['nm0472442', 'nm0559343']",,"['nm2255498', 'nm3938849', 'nm0485959']",,,,,
772,tt0105201,Quartier Mozart (1992),Quartier Mozart,1992,1992,['Comedy'],['Comedy'],['Comedy'],movie,['nm0067464'],,"['nm0007747', 'nm11990465', 'nm11990466']",['nm11990464'],['nm0089033'],['nm11990495'],"['nm11990510', 'nm11990509', 'nm11990508']",,,,
773,tt0070820,Touki Bouki (Journey of the Hyena) (1973),Journey of the Hyena,1973,1973,['Drama'],['Drama'],['Drama'],movie,['nm0228013'],,"['nm0629199', 'nm0172970', 'nm0876997', 'nm0228033']","['nm0629200', 'nm0266292']",['nm1154755'],,,['nm11264731'],,,
774,tt0084898,Wend Kuuni (God's Gift) (1982),Wend Kuuni,1982,1982,['Drama'],['Drama'],['Drama'],movie,['nm0434095'],,"['nm0858194', 'nm0946228', 'nm0631664', 'nm0934417', 'nm0653451']","['nm0946227', 'nm0434094', 'nm0850115', 'nm0653463']",,,,,,,
775,tt0063715,Spirits of the Dead (Tre Passi nel Delirio) (1968),Spirits of the Dead,1968,1968,['Horror'],"['Horror', 'Mystery']","['Drama', 'Horror', 'Mystery']",movie,"['nm0000019', 'nm0001501', 'nm0671862']","['nm0939618', 'nm0000590', 'nm0184046']","['nm0001128', 'nm0000654']","['nm0000404', 'nm0000003']",,,,,,,
776,tt0109191,Babyfever (1994),Babyfever,1994,1994,"['Comedy', 'Drama']","['Comedy', 'Drama']","['Comedy', 'Drama']",movie,['nm0415617'],,"['nm0758413', 'nm0000616']","['nm0289439', 'nm0004920']",['nm0005643'],,['nm0938482'],,['nm0088769'],,
777,tt0114122,Pharaoh's Army (1995),Pharaoh's Army,1995,1995,['War'],['War'],['Western'],movie,['nm0378240'],,"['nm0177933', 'nm0001434', 'nm0431451']",['nm0165101'],['nm0772087'],"['nm3745911', 'nm1350285']",['nm0517045'],,['nm0742400'],,
778,tt0117951,Trainspotting (1996),Trainspotting,1996,1996,['Drama'],"['Comedy', 'Crime', 'Drama']",['Drama'],movie,['nm0000965'],"['nm0920543', 'nm0388076']","['nm0000191', 'nm0001971', 'nm0001538', 'nm0571727']",,['nm0005909'],,['nm0531602'],['nm0386227'],,,
779,tt0118523,'Til There Was You (1997),'Til There Was You,1997,1997,"['Drama', 'Romance']","['Drama', 'Romance']","['Comedy', 'Romance']",movie,['nm0934525'],['nm0392848'],"['nm0001518', 'nm0687668']","['nm0000675', 'nm0597223']",,['nm0005966'],"['nm0277896', 'nm0693561', 'nm0742347']",,,,
780,tt0116629,Independence Day (ID4) (1996),Independence Day,1996,1996,"['Action', 'Sci-Fi', 'War']","['Action', 'Adventure', 'Sci-Fi', 'Thriller']","['Action', 'Adventure', 'Sci-Fi']",movie,['nm0000386'],['nm0002041'],"['nm0000226', 'nm0000597', 'nm0000156']",['nm0001521'],['nm0005776'],['nm0003417'],,['nm0107463'],['nm0774606'],,
781,tt0117737,Stealing Beauty (1996),Stealing Beauty,1996,1996,['Drama'],['Drama'],"['Drama', 'Mystery', 'Romance']",movie,['nm0000934'],['nm0591612'],"['nm0000460', 'nm0147605']","['nm0000239', 'nm0193661']",['nm0451787'],['nm0366880'],['nm0859016'],['nm0768817'],,,
782,tt0116277,"Fan, The (1996)",The Fan,1996,1996,['Thriller'],"['Drama', 'Thriller']","['Action', 'Drama', 'Sport']",movie,['nm0001716'],"['nm0009029', 'nm0840380']","['nm0000134', 'nm0000648', 'nm0000491']",['nm0000289'],['nm0003011'],['nm0001877'],['nm0277704'],,,,
783,tt0116583,"Hunchback of Notre Dame, The (1996)",The Hunchback of Notre Dame,1996,1996,"['Animation', ""Children's"", 'Musical']","['Animation', 'Children', 'Drama', 'Musical', 'Romance']","['Animation', 'Drama', 'Family']",movie,"['nm0873779', 'nm0936374']","['nm0879318', 'nm0614742', 'nm0401076', 'nm0575293']","['nm0004517', 'nm0123553']","['nm0000193', 'nm0074834']",,,,,,,
784,tt0115798,"Cable Guy, The (1996)",The Cable Guy,1996,1996,['Comedy'],"['Comedy', 'Thriller']","['Comedy', 'Drama', 'Thriller']",movie,['nm0001774'],['nm0392648'],"['nm0000120', 'nm0000111', 'nm0085312']",['nm0005182'],,['nm0653211'],"['nm0031976', 'nm0508988', 'nm0611064']",,,,
785,tt0116778,Kingpin (1996),Kingpin,1996,1996,['Comedy'],['Comedy'],"['Comedy', 'Sport']",movie,"['nm0125803', 'nm0268380']","['nm0266673', 'nm0622240']","['nm0000437', 'nm0001642', 'nm0000195']",['nm0029502'],,,"['nm0820925', 'nm0471097']",,,,
786,tt0116213,Eraser (1996),Eraser,1996,1996,"['Action', 'Thriller']","['Action', 'Drama', 'Thriller']","['Action', 'Drama', 'Thriller']",movie,['nm0751080'],"['nm0701049', 'nm0338396', 'nm0155961']","['nm0000216', 'nm0001001', 'nm0000336']",['nm0001853'],,,"['nm0465745', 'nm0465744']",,,,
787,tt0113147,"Gate of Heavenly Peace, The (1995)",The Gate of Heavenly Peace,1995,1995,['Documentary'],['Documentary'],"['Documentary', 'News']",tvEpisode,['nm0330544'],"['nm1471741', 'nm0189749']",['nm0752051'],"['nm2407319', 'nm0385971']",,['nm1495992'],"['nm0468421', 'nm0770735', 'nm0946659']",,,,
788,tt0117218,"Nutty Professor, The (1996)",The Nutty Professor,1996,1996,"['Comedy', 'Fantasy', 'Romance', 'Sci-Fi']","['Comedy', 'Fantasy', 'Romance', 'Sci-Fi']","['Comedy', 'Romance', 'Sci-Fi']",movie,['nm0001723'],"['nm0644203', 'nm0001471', 'nm0725075', 'nm0790775', 'nm0087904']","['nm0000552', 'nm0000336', 'nm0588777']",['nm0000586'],,,,,,,
789,tt0100990,"I, Worst of All (Yo, la peor de todas) (1990)","I, the Worst of All",1990,1990,['Drama'],['Drama'],['Drama'],movie,['nm0069833'],"['nm0488613', 'nm0668583']","['nm0022765', 'nm0615511']","['nm0785264', 'nm0761212']",['nm0599983'],['nm0766884'],['nm0822711'],,,,
790,tt0111546,An Unforgettable Summer (1994),An Unforgettable Summer,1994,1994,['Drama'],['Drama'],"['Drama', 'Romance', 'War']",movie,['nm0684596'],['nm0241577'],"['nm0088250', 'nm0176035']","['nm0000218', 'nm0876129']",['nm0315732'],['nm0840034'],"['nm0439767', 'nm3376838']",,,,
791,tt0113610,"Last Klezmer: Leopold Kozlowski, His Life and Music, The (1995)","The Last Klezmer: Leopold Kozlowski, His Life and Music",1994,1994,['Documentary'],['Documentary'],"['Documentary', 'Music']",movie,['nm0834889'],,['nm0468956'],,['nm0748589'],,"['nm0067969', 'nm0075412', 'nm0527339', 'nm0692645']",['nm0636600'],,,
792,tt0093199,"Hungarian Fairy Tale, A (1987)",A Hungarian Fairy Tale,1987,1987,['Fantasy'],['Fantasy'],['Fantasy'],movie,['nm0003927'],['nm0350581'],"['nm0894403', 'nm0381806', 'nm0404179']",['nm0889733'],['nm0005839'],['nm0551737'],,['nm0845419'],['nm0739781'],,
793,tt0106810,My Life and Times With Antonin Artaud (En compagnie d'Antonin Artaud) (1993),En compagnie d'Antonin Artaud,1993,1993,['Drama'],['Drama'],"['Biography', 'Drama']",movie,['nm0603294'],"['nm0696641', 'nm0697454']","['nm0293739', 'nm0053903']","['nm0433564', 'nm0419951']",['nm0146281'],['nm0006223'],['nm0294654'],,,,
794,tt0111180,Midnight Dancers (Sibak) (1994),Midnight Dancers,1994,1994,"['Comedy', 'Drama']","['Comedy', 'Drama']","['Crime', 'Drama']",movie,['nm0158029'],['nm0498080'],"['nm0215843', 'nm0148886', 'nm0202973', 'nm3918409']",,['nm0878283'],['nm0119194'],,['nm0622910'],['nm0514455'],,
795,tt0111237,Somebody to Love (1994),Somebody to Love,1994,1994,['Drama'],['Drama'],"['Comedy', 'Drama']",movie,['nm0734319'],['nm0091076'],"['nm0000172', 'nm0000063', 'nm0217716']",['nm0001609'],['nm0005934'],['nm0534794'],['nm0147416'],['nm0535718'],,,
796,tt0072362,"Very Natural Thing, A (1974)",A Very Natural Thing,1974,1974,['Drama'],['Drama'],"['Drama', 'Romance']",movie,['nm0488272'],['nm0168764'],"['nm0423578', 'nm0307219', 'nm0924528', 'nm1280399']",,['nm0235302'],"['nm0331966', 'nm0524043', 'nm5216751']",,,,,
797,tt0103207,"Old Lady Who Walked in the Sea, The (Vieille qui marchait dans la mer, La) (1991)",The Old Lady Who Walked in the Sea,1991,1991,['Comedy'],['Comedy'],['Comedy'],movie,['nm0382327'],"['nm0745704', 'nm0201063']","['nm0785664', 'nm0862006']","['nm0603402', 'nm0200469']",['nm0016139'],['nm0006271'],['nm0431118'],,,,
798,tt0116040,Daylight (1996),Daylight,1996,1996,"['Action', 'Adventure', 'Thriller']","['Action', 'Adventure', 'Drama', 'Thriller']","['Action', 'Adventure', 'Drama']",movie,['nm0003418'],['nm0092018'],"['nm0000230', 'nm0001557', 'nm0000445']",['nm0000312'],,['nm0006055'],"['nm0204862', 'nm0295560', 'nm0801972']",,,,
799,tt0116365,"Frighteners, The (1996)",The Frighteners,1996,1996,"['Comedy', 'Horror']","['Comedy', 'Horror', 'Thriller']","['Comedy', 'Fantasy', 'Horror']",movie,['nm0001392'],['nm0909638'],"['nm0000150', 'nm0229930', 'nm0040014']",['nm0000746'],"['nm0093151', 'nm0088373']",['nm0000384'],['nm0783241'],,,,
800,tt0116905,Lone Star (1996),Lone Star,1996,1996,"['Drama', 'Mystery']","['Drama', 'Mystery', 'Western']","['Drama', 'Mystery']",movie,['nm0000626'],,"['nm0177933', 'nm0579116', 'nm0485917']",['nm0001615'],['nm0238698'],['nm0006025'],"['nm0589158', 'nm0719964']",,['nm0084019'],,
801,tt0116493,Harriet the Spy (1996),Harriet the Spy,1996,1996,"[""Children's"", 'Comedy']","['Children', 'Comedy']","['Comedy', 'Drama', 'Family']",movie,['nm0400486'],"['nm0714246', 'nm0280447', 'nm0852430', 'nm0848027', 'nm0677956']",['nm0808376'],"['nm0005502', 'nm0005280', 'nm0156345']",,,,,,,
802,tt0117333,Phenomenon (1996),Phenomenon,1996,1996,"['Drama', 'Romance']","['Drama', 'Romance']","['Drama', 'Fantasy', 'Romance']",movie,['nm0005509'],['nm0224187'],"['nm0000237', 'nm0001845', 'nm0000380']",['nm0001718'],['nm0003659'],['nm0002353'],"['nm0102189', 'nm0852888']",,,,
803,tt0118113,Walking and Talking (1996),Walking and Talking,1996,1996,['Romance'],"['Comedy', 'Drama', 'Romance']","['Comedy', 'Drama', 'Romance']",movie,['nm0392237'],,,"['nm0001416', 'nm0000162', 'nm0106010', 'nm0722614']",['nm0818785'],['nm0103891'],"['nm0394046', 'nm0770005']",['nm0503429'],,,
804,tt0117628,She's the One (1996),She's the One,1996,1996,"['Comedy', 'Romance']","['Comedy', 'Romance']","['Comedy', 'Drama', 'Romance']",movie,,,"['nm0122653', 'nm0001498', 'nm0569458']",['nm0000098'],['nm0697910'],,"['nm0394046', 'nm0770005']",['nm0333638'],['nm0054096'],,
